id,user_id,username,profile_url,bio,followers_count,following_count,posts_count,is_verified,first_seen_at,last_updated_at
40,user_zona,Zona 移民,https://www.xiaohongshu.com/user/profile/user_zona,,0,0,0,False,2026-03-09 19:51:20.703562+00:00,2026-03-09 19:51:20.703562+00:00
41,user_amanda,Amanda,https://www.xiaohongshu.com/user/profile/user_amanda,,0,0,0,False,2026-03-09 19:51:21.763463+00:00,2026-03-09 19:51:21.763463+00:00
42,user_luko,Luko,https://www.xiaohongshu.com/user/profile/user_luko,,0,0,0,False,2026-03-09 19:51:22.829249+00:00,2026-03-09 19:51:22.829249+00:00
43,user_gaibao,盖保保聊保险,https://www.xiaohongshu.com/user/profile/user_gaibao,,0,0,0,False,2026-03-09 20:10:57.682123+00:00,2026-03-09 20:10:57.682123+00:00
44,user_suiying,随影,https://www.xiaohongshu.com/user/profile/user_suiying,,0,0,0,False,2026-03-09 20:10:58.694211+00:00,2026-03-09 20:10:58.694211+00:00
45,user_zhuanxin,专心保险科普,https://www.xiaohongshu.com/user/profile/user_zhuanxin,,0,0,0,False,2026-03-09 20:10:59.731206+00:00,2026-03-09 20:10:59.731206+00:00
5,user_zan,zanlaoliu,https://www.xiaohongshu.com/user/profile/user_zan,,0,0,0,False,2026-03-09 16:51:05.076397+00:00,2026-03-09 20:11:00.785447+00:00
47,user_yucheng,语诚保险规划 丨 和康,https://www.xiaohongshu.com/user/profile/user_yucheng,,0,0,0,False,2026-03-09 20:31:38.588608+00:00,2026-03-09 20:31:38.588608+00:00
48,user_momo2,momo,https://www.xiaohongshu.com/user/profile/user_momo2,,0,0,0,False,2026-03-09 20:31:39.653769+00:00,2026-03-09 20:31:39.653769+00:00
49,user_andy2,AndyWell,https://www.xiaohongshu.com/user/profile/user_andy2,,0,0,0,False,2026-03-09 20:31:40.662328+00:00,2026-03-09 20:31:40.662328+00:00
50,user_banpie,半撇有财,https://www.xiaohongshu.com/user/profile/user_banpie,,0,0,0,False,2026-03-09 20:31:41.742788+00:00,2026-03-09 20:31:41.742788+00:00
51,user_mjd,靠谱的马大姐,https://www.xiaohongshu.com/user/profile/user_mjd,,0,0,0,False,2026-03-09 20:51:08.196789+00:00,2026-03-09 20:51:08.196789+00:00
12,user_zhou,卖保险的周冬雨,https://www.xiaohongshu.com/user/profile/user_zhou,,0,0,0,False,2026-03-09 17:31:11.512381+00:00,2026-03-09 20:51:09.233305+00:00
15,user_qinqin,琴琴谈规划,https://www.xiaohongshu.com/user/profile/user_qinqin,,0,0,0,False,2026-03-09 17:31:16.580486+00:00,2026-03-09 20:51:10.246278+00:00
54,user_yudan2,鱼蛋丸,https://www.xiaohongshu.com/user/profile/user_yudan2,,0,0,0,False,2026-03-09 20:51:11.304088+00:00,2026-03-09 20:51:11.304088+00:00
55,user_alpha2,Alpha,https://www.xiaohongshu.com/user/profile/user_alpha2,,0,0,0,False,2026-03-09 21:12:32.743852+00:00,2026-03-09 21:12:32.743852+00:00
56,user_xby,好想退休的小白鸭,https://www.xiaohongshu.com/user/profile/user_xby,,0,0,0,False,2026-03-09 21:12:33.794521+00:00,2026-03-09 21:12:33.794521+00:00
