id,comment_id,post_id,author_id,author_name,content,likes_count,is_top_comment,published_at,collected_at
1,comment_1_6870d7f1,6870d7f10000000017037ca7,675839e500000000010034da,槐序十四,有推荐的吗 2025-12-02浙江,0,False,,2026-03-09 14:39:16.577659+00:00
2,comment_2_6870d7f1,6870d7f10000000017037ca7,68675a60000000001b023855,成功率,了解一下 01-13山西,0,False,,2026-03-09 14:39:17.898676+00:00
3,comment_3_6870d7f1,6870d7f10000000017037ca7,6896eb980000000029008962,素颜,你好，怎么找你 02-19山西,0,False,,2026-03-09 14:39:19.312775+00:00
4,comment_1_6677ad6b,6677ad6b000000001d01819b,5dc6030a0000000001005c6b,小太阳,您好，可以帮忙看一下哪些需要调整吗？,3,False,,2026-03-09 14:41:05.362511+00:00
5,comment_2_6677ad6b,6677ad6b000000001d01819b,5ffa4be0000000000100acca,h h,寿险有推荐的吗,6,False,,2026-03-09 14:41:06.829538+00:00
6,comment_3_6677ad6b,6677ad6b000000001d01819b,611066ec0000000001008ce8,爱音乐的蕾拉酱,自己创业有什么医疗险好用啊,2,False,,2026-03-09 14:41:08.424194+00:00
